Spearman's Rank Correlation Coefficient, *(p< 0.1)  **(p< 0.05)  ***(p< 0.001)
Date,Proximity to epicenter vs Aware percentage (city level), Confirmed covid-19 cases vs Aware percentage (province level), GDP vs Aware percentage (province level)
20191201,-0.23994117633655057***,0.12247448713915911,0.3016129032258064*
20191202,-0.1828300470076606***,0.0,0.47701612903225804***
20191203,-0.15553471349566278***,0.10206207261596575,0.4814516129032259***
20191204,-0.12698149937286016**,0.10206207261596575,0.5088709677419355***
20191205,-0.12467166479162269**,0.0816496580927729,0.46250000000000013***
20191206,-0.09614915779645834*,0.12247448713915911,0.4673387096774194***
20191207,-0.11412987765978777**,0.12247448713915911,0.45967741935483875***
20191208,-0.1362957491292641***,0.10206207261596575,0.4383064516129034**
20191209,-0.13358262281041122**,0.06123724356958005,0.4286290322580645**
20191210,-0.12263396042388824**,0.06123724356958005,0.4189516129032258**
20191211,-0.11216317294393022**,0.06123724356958005,0.4431451612903226**
20191212,-0.07395746227307767,0.06123724356958005,0.41411290322580646**
20191213,-0.05788417351127212,0.06123724356958005,0.4318548387096775**
20191214,-0.05857254953091877,0.06123724356958005,0.4185483870967741**
20191215,-0.06237264987340617,0.061237243569579054,0.4544354838709676**
20191216,-0.09122759273055212*,0.06123724356958005,0.49395161290322587***
20191217,-0.0891318124834824*,0.06123724356958005,0.4923387096774194***
20191218,-0.09069248836154964*,0.06123724356958005,0.478225806451613***
20191219,-0.09093082626421525*,0.06123724356958005,0.4681451612903226***
20191220,-0.07336534348087143,0.0816496580927729,0.4725806451612902***
20191221,-0.07480825869241332,0.10206207261596575,0.48145161290322575***
20191222,-0.07762134295464086,0.12247448713915911,0.47258064516129***
20191223,-0.09836583019402895*,0.12247448713915911,0.46895161290322557***
20191224,-0.10468985127621304**,0.12247448713915911,0.48548387096774176***
20191225,-0.11637071158685308**,0.12247448713915911,0.49193548387096775***
20191226,-0.11102226687272139**,0.12247448713915911,0.4669354838709676***
20191227,-0.1029708509459924**,0.12247448713915911,0.46572580645161293***
20191228,-0.09263016667545923*,0.12247448713915911,0.48588709677419367***
20191229,-0.08833829439241718*,0.12247448713915911,0.48185483870967744***
20191230,-0.10748668531172711**,0.1837117307087385,0.48588709677419356***
20191231,-0.2705386925740834***,0.30618621784789724*,0.6379032258064519***
20200101,-0.2957681866557715***,0.30618621784789724*,0.6435483870967743***
20200102,-0.3132220787230233***,0.30618621784789724*,0.6447580645161292***
20200103,-0.3223097485614428***,0.30618621784789724*,0.6556451612903227***
20200104,-0.3293478707971899***,0.30618621784789746*,0.674193548387097***
20200105,-0.33518368637650875***,0.30618621784789724*,0.7020161290322581***
20200106,-0.3383576607415768***,0.30618621784789724*,0.7008064516129033***
20200107,-0.3372833924949384***,0.30618621784789724*,0.7116935483870969***
20200108,-0.3403368206965357***,0.30618621784789724*,0.7072580645161293***
20200109,-0.3460766538060797***,0.30618621784789746*,0.6874999999999999***
20200110,-0.34332918033410115***,0.30618621784789746*,0.693951612903226***
20200111,-0.3469821574238599***,0.30618621784789746*,0.7052419354838714***
20200112,-0.34753544595690256***,0.30618621784789724*,0.7092741935483874***
20200113,-0.34661231543669274***,0.30618621784789724*,0.7028225806451611***
20200114,-0.3457747365877939***,0.30618621784789724*,0.710483870967742***
20200115,-0.3481204224143349***,0.30618621784789746*,0.7076612903225806***
20200116,-0.3543457235373313***,0.30618621784789724*,0.7133064516129033***
20200117,-0.38709534905531967***,0.30618621784789724*,0.736693548387097***
20200118,-0.4153469135306825***,0.30618621784789724*,0.7467741935483874***
20200119,-0.4856792900919051***,0.38337423811676863**,0.7616935483870968***
20200120,-0.5586567087374736***,0.5667636853340277***,0.7649193548387099***
20200121,-0.5571510627485838***,0.7293683637132342***,0.704032258064516***
20200122,-0.5482416793468475***,0.7033599988807919***,0.6209677419354839***
20200123,-0.4868173530536126***,0.7458320091849271***,0.6306451612903227***
20200124,-0.4804164991332194***,0.757869496238283***,0.6407258064516127***
20200125,-0.3790431908641741***,0.6552351411795834***,0.5661290322580648***
20200126,-0.2431227962759979***,0.5935861717317111***,0.5479838709677419***
20200127,-0.15234296671863382***,0.4995967741935484***,0.47661290322580663***
20200128,-0.09353301791457252*,0.39447415337290165**,0.42338709677419345**
20200129,-0.06574058680225851,0.37386570633104954**,0.417741935483871**
20200130,-0.053892098684738085,0.352858152816512*,0.3979838709677419**
20200131,-0.047466768715473576,0.32281480151956315*,0.3754032258064515**
20200201,-0.04595341461380459,0.343951612903226*,0.3677419354838711**
20200202,-0.045772781373140586,0.3549102713822264*,0.36814516129032265**
20200203,-0.04455779030720378,0.3609234820237464**,0.35120967741935477*
20200204,-0.04300405072489908,0.35628591772958684**,0.3508064516129033*
20200205,-0.041880722461982364,0.3443895571489157*,0.3560483870967741**
20200206,-0.041270289803150464,0.34435483870967754*,0.35967741935483855**
20200207,-0.04096201396762534,0.3179756039952224*,0.3508064516129033*
20200208,-0.04201754357516889,0.31276467665558677*,0.3487903225806452*
20200209,-0.0411628399486084,0.3012400458902109*,0.3471774193548386*
20200210,-0.04086961688313878,0.2925698169924338,0.3471774193548386*
20200211,-0.040642479149619826,0.2850806451612904,0.34758064516129017*
20200212,-0.03975669094099257,0.284274193548387,0.34758064516129017*
20200213,-0.03987552215825941,0.2818832557928476,0.34758064516129017*
20200214,-0.039177465244470286,0.2730113936648901,0.34758064516129017*
20200215,-0.03826095959451052,0.27442282627615594,0.3451612903225807*
20200216,-0.03726392774376695,0.2754032258064513,0.3451612903225807*
20200217,-0.03714607556845515,0.2754032258064513,0.3451612903225807*
20200218,-0.036676869711606205,0.2754032258064513,0.3451612903225807*
20200219,-0.03618575779101767,0.2762375253477836,0.3451612903225807*
20200220,-0.03603877911754961,0.2536546035675266,0.3399193548387098*
20200221,-0.03615773271506047,0.26131666631439954,0.3399193548387098*
20200222,-0.03569342206798587,0.26131666631439954,0.3399193548387098*
20200223,-0.03540166756544795,0.2620967741935484,0.3399193548387098*
20200224,-0.03561766869673071,0.2620967741935484,0.3399193548387098*
20200225,-0.035584626030756024,0.2620967741935484,0.3399193548387098*
20200226,-0.0349353988344633,0.2620967741935484,0.3399193548387098*
